Unnamed: 0.1,cd_loc,latlong,lat,long,district
34,대연동 남구청사거리CCTV,"[35.1365783, 129.0842468]",35.1365783,129.0842468,257.0
35,문현2동 국제금융센터부근,"[35.1472297, 129.0657929]",35.147229700000004,129.0657929,42.0
36,용호4동 백운포체육공원 부근(횡단보도),"[35.1032181, 129.1107372]",35.10321810000001,129.1107372,622.0
37,우암1동 우암로154번길 부근,"[35.12625540000001, 129.0812536]",35.12625540000001,129.0812536,226.0
38,대연부산은행건너편CCTV,"[35.1348935, 129.0922523]",35.1348935,129.0922523,362.0
39,대연동 수영로358번길 대동이용원 부근(곡각지),"[35.1385045, 129.1051705]",35.138504499999996,129.1051705,536.0
40,대연동 수영로358번길 여성회관 부근,"[35.1390877, 129.1045532]",35.139087700000005,129.10455320000003,536.0
41,대연동 교보문고 앞 CCTV(인도),"[35.13767, 129.1017052]",35.13767,129.10170520000003,501.0
42,대연동 용소로7번길 명진약국 부근,"[35.1384488, 129.1039178]",35.13844879999999,129.1039178,536.0
43,문현동 전포대로40번길 데시앙 아파트 부근,"[35.1422239, 129.0672816]",35.1422239,129.0672816,44.0
44,용호동 유람선터미널CCTV,"[35.1323001, 129.1162535]",35.1323001,129.1162535,679.0
45,대연동 수영로334번길 뚱보네돼지갈비 부근,"[35.1366434, 129.1017792]",35.136643400000004,129.1017792,502.0
46,문현동 수영로13번길 문현식당 부근,"[35.1378142, 129.0699137]",35.13781420000001,129.0699137,81.0
47,문현동 베스티움@앞CCTV,"[35.1397443, 129.0705649]",35.1397443,129.0705649,80.0
48,대연동 석포로83번길 한일빌 부근,"[35.1290608, 129.0891139]",35.1290608,129.0891139,330.0
49,대연4동 김효준소아과부근,"[35.1245283, 129.0886745]",35.1245283,129.08867450000002,332.0
50,대연동 석포로83번길 47 부근(직각),"[35.1272864, 129.088801]",35.1272864,129.088801,331.0
51,용호동 용호로124번길 19 부근,"[35.1211435, 129.1110349]",35.1211435,129.11103490000002,614.0
52,대연동 용소로40번길 왕성부동산 부근,"[35.1341023, 129.0997183]",35.1341023,129.0997183,468.0
53,대연동 수영로 대연혁신지구 복합상가 부근,"[35.1397318, 129.1033138]",35.1397318,129.1033138,500.0
54,대연동 파크푸르지오CCTV,"[35.1298105, 129.0913635]",35.1298105,129.0913635,365.0
55,문현동 현대1차 인근CCTV,"[35.1446256, 129.0786042]",35.1446256,129.0786042,183.0
56,대연동 부경대정문앞CCTV,"[35.1397716, 129.0984966]",35.1397716,129.0984966,465.0
57,대연동 진남로 7-9 부근,"[35.1355706, 129.0913494]",35.1355706,129.09134939999998,362.0
58,우암동 장고개로 내호냉면 부근,"[35.1264978, 129.0708729]",35.126497799999996,129.0708729,86.0
59,대연1동 유엔평화로부근,"[35.1328758, 129.091826]",35.1328758,129.091826,363.0
60,대연사거리하나투어CCTV,"[35.1352058, 129.0905928]",35.135205799999994,129.0905928,362.0
61,용호1동 분포로 부근,"[35.1295917, 129.11584]",35.1295917,129.11584,680.0
62,문현동 자유평화로60번길 시민회관주차장 부근,"[35.138252, 129.062537]",35.138252,129.06253700000002,
63,대연동 석포로127번길 99 부근,"[35.1273108, 129.0900894]",35.1273108,129.0900894,366.0
64,감만1동 8부두로 부근,"[35.1168676, 129.0806706]",35.116867600000006,129.0806706,231.0
65,감만동 8부두로 8부두로 부근,"[35.1188941, 129.0716435]",35.1188941,129.0716435,125.0
66,용호동 솔밭공원부근CCTV,"[35.1155121, 129.115598]",35.115512100000004,129.115598,686.0
67,문현동 전포대로91번길 이마트 부근,"[35.1443594, 129.0642591]",35.1443594,129.06425910000002,8.0
68,문현2동 양지경로당부근,"[35.1442273, 129.0731356]",35.1442273,129.0731356,113.0
69,문현2동 두광골든밸류빌아파트부근,"[35.1442273, 129.0731356]",35.1442273,129.0731356,113.0
70,대연동 부경대정문앞CCTV(곡각지),"[35.134032, 129.1031735]",35.134032,129.1031735,503.0
71,감만1동 8부두로부근,"[35.1168676, 129.0806706]",35.116867600000006,129.0806706,231.0
72,문현동 문현로 성남유통 부근,"[35.142677, 129.0751273]",35.142677,129.0751273,149.0
73,문현1동 태영데시앙아파트 부근,"[35.1480091, 129.0834877]",35.1480091,129.0834877,252.0
74,우암동 장고개로 14 부근,"[35.126432, 129.0711792]",35.126432,129.07117920000002,121.0
75,문현3동 대발철물종합건축부근,"[35.140286, 129.0718293]",35.140285999999996,129.07182930000002,115.0
76,대연동 금보맨션앞CCTV,"[35.136532, 129.097696]",35.136532,129.09769599999998,432.0
77,대연동 수영로 별난멸치국수 부근,"[35.1350784, 129.0870427]",35.1350784,129.0870427,292.0
78,대연동 수영로 대연혁신 푸르지오아파트 부근,"[35.1390598, 129.1020569]",35.1390598,129.1020569,501.0
79,대연5동 한마하이츠빌라 부근,"[35.1390318, 129.088697]",35.1390318,129.088697,326.0
